Process,Time,,,Time,
process_1,2.119843735,2,,,
process_5,9.976171008,8,,Media,42.47664934
process_2,15.99437268,8,,Error típico,1.963177374
process_0,19,3,,Mediana,36
process_7,11.79233405,1,,Moda,26
process_8,12.76655885,9,,Desviación estándar,19.63177374
process_3,18.93998882,2,,Varianza de la muestra,385.4065404
process_10,13.67313978,9,,Curtosis,-1.335273461
process_4,23.91123179,7,,Coeficiente de asimetría,0.129275662
process_11,14.23048247,9,,Rango,75.88015627
process_12,14.80629252,8,,Mínimo,2.119843735
process_14,15.64226568,2,,Máximo,78
process_15,14.38297573,5,,Suma,4247.664934
process_6,31.69769004,4,,Cuenta,100
process_9,38.96722915,4,,,
process_25,37.35179129,1,,,
process_27,42.15476467,10,,,
process_13,62.19573253,7,,,
process_17,62.60809367,1,,,
process_16,64.49726123,9,,,
process_18,64.33004508,7,,,
process_19,64.23718565,6,,,
process_21,62.97967999,9,,,
process_20,64.09389208,8,,,
process_22,64.51681456,1,,,
process_23,65.47235336,10,,,
process_26,64.57609378,7,,,
process_24,66.60918647,3,,,
process_28,71.54018514,5,,,
process_29,71.60127852,1,,,
process_30,70,9,,,
process_35,21,4,,,
process_37,24,5,,,
process_38,25,2,,,
process_39,25,5,,,
process_31,78,1,,,
process_40,26,10,,,
process_41,27,2,,,
process_42,27,9,,,
process_43,28,8,,,
process_44,29,2,,,
process_46,31,5,,,
process_32,55,9,,,
process_33,56,6,,,
process_48,25,1,,,
process_49,26,3,,,
process_34,55,8,,,
process_36,48,2,,,
process_54,32,5,,,
process_55,31,5,,,
process_56,32,5,,,
process_57,30,5,,,
process_45,64,6,,,
process_60,33,7,,,
process_64,43,1,,,
process_65,38,7,,,
process_66,41,4,,,
process_47,69,10,,,
process_50,65,8,,,
process_51,64,9,,,
process_52,65,1,,,
process_67,31,10,,,
process_68,31,5,,,
process_53,69,6,,,
process_58,65,1,,,
process_70,28,9,,,
process_71,29,1,,,
process_59,71,3,,,
process_62,65,7,,,
process_61,67,4,,,
process_63,70,2,,,
process_74,26,6,,,
process_75,26,5,,,
process_77,32,2,,,
process_79,35,3,,,
process_81,38,10,,,
process_83,35,8,,,
process_84,36,1,,,
process_85,37,1,,,
process_86,36,4,,,
process_69,73,9,,,
process_72,66,3,,,
process_88,36,8,,,
process_90,32,9,,,
process_91,33,2,,,
process_73,63,6,,,
process_92,34,1,,,
process_76,61,3,,,
process_78,64,2,,,
process_94,26,2,,,
process_82,66,10,,,
process_80,70,2,,,
process_96,28,6,,,
process_97,29,4,,,
process_98,27,6,,,
process_87,62,10,,,
process_89,61,2,,,
process_93,44,8,,,
process_95,41,4,,,
process_99,35,2,,,
