Process,Time,,,Time,
process_0,9,3,,,
process_1,4,2,,Media,4.616900098
process_2,1,4,,Error típico,0.414512486
process_4,1,8,,Mediana,3.059506725
process_3,9.183310577,7,,Moda,1
process_5,1,6,,Desviación estándar,4.145124862
process_6,1.8871249,9,,Varianza de la muestra,17.18206012
process_7,1,7,,Curtosis,0.790428371
process_9,2.673107058,4,,Coeficiente de asimetría,1.175092913
process_8,5,8,,Rango,16.34710573
process_10,1,9,,Mínimo,1
process_11,3,2,,Máximo,17.34710573
process_12,1,9,,Suma,461.6900098
process_14,1,8,,Cuenta,100
process_13,9,9,,,
process_15,3,3,,,
process_16,9.449617799,2,,,
process_17,5,3,,,
process_18,1,8,,,
process_19,1,3,,,
process_20,9,4,,,
process_21,3,9,,,
process_22,1,8,,,
process_23,9,7,,,
process_24,1.718927077,7,,,
process_25,4,9,,,
process_26,3.682785121,7,,,
process_28,1,4,,,
process_27,12.67485509,9,,,
process_30,1,2,,,
process_29,9.975150098,2,,,
process_31,1,5,,,
process_32,1,6,,,
process_33,1.639751349,3,,,
process_34,4,5,,,
process_35,1,2,,,
process_36,1,7,,,
process_37,1,9,,,
process_38,1,1,,,
process_39,1.909869912,3,,,
process_41,7,9,,,
process_40,11.93401744,9,,,
process_42,7.737165351,1,,,
process_43,3.119013451,1,,,
process_44,3.447450263,1,,,
process_45,4.080687325,2,,,
process_46,9,1,,,
process_49,7.86849659,4,,,
process_47,13,10,,,
process_51,7.871898798,7,,,
process_48,17.05920462,10,,,
process_50,17.34710573,10,,,
process_52,17.26386203,6,,,
process_53,8,6,,,
process_54,7.80217554,2,,,
process_55,1,2,,,
process_56,1.070194289,9,,,
process_57,3,6,,,
process_58,1.920261442,5,,,
process_59,4,10,,,
process_60,1,7,,,
process_61,3,3,,,
process_63,5.992173083,9,,,
process_64,2.819005089,6,,,
process_65,1,2,,,
process_62,11.39091654,10,,,
process_67,3.388582709,1,,,
process_69,5.135005733,8,,,
process_68,7.018809973,10,,,
process_66,10,2,,,
process_70,2.423908059,9,,,
process_71,3,4,,,
process_72,3.797867691,1,,,
process_73,3,7,,,
process_74,3.45789774,2,,,
process_75,1,5,,,
process_76,1,6,,,
process_77,1,5,,,
process_78,1,5,,,
process_80,1,7,,,
process_81,3.790406529,3,,,
process_79,10.15662949,2,,,
process_83,1,4,,,
process_85,4.521695018,9,,,
process_82,10.72591756,2,,,
process_84,10.90668901,4,,,
process_86,9,8,,,
process_87,9,2,,,
process_88,1,3,,,
process_89,1,5,,,
process_90,1,3,,,
process_91,3.236104788,1,,,
process_93,1,4,,,
process_92,9,5,,,
process_94,1,9,,,
process_95,9,1,,,
process_96,1,8,,,
process_97,1,10,,,
process_99,3.9341103,3,,,
process_98,5.678258606,6,,,
