Process,Time,,,Time,
process_0,9,3,,,
process_1,4,2,,Media,3.948498375
process_2,1,4,,Error típico,0.245067813
process_3,9,7,,Mediana,2.972479904
process_4,1,5,,Moda,1
process_5,1,6,,Desviación estándar,3.465782251
process_6,1.774249799,9,,Varianza de la muestra,12.01164661
process_7,1,7,,Curtosis,-0.802276342
process_9,1.346214117,4,,Coeficiente de asimetría,0.842983191
process_8,5,8,,Rango,10.86803489
process_10,1,9,,Mínimo,1
process_11,3,2,,Máximo,11.86803489
process_12,1,9,,Suma,789.699675
process_13,9,9,,Cuenta,200
process_14,1.108324416,8,,,
process_15,3,3,,3.77075352,25
process_16,9,2,,4.18420168,50
process_18,1,8,,3.98467068,100
process_17,9,9,,4.08897831,150
process_19,1.681998825,3,,3.94849837,200
process_21,3.358050944,9,,,
process_20,7,9,,,
process_22,9,9,,,
process_23,1,9,,,
process_24,1,7,,,
process_25,7,10,,,
process_26,5.770571533,9,,,
process_27,4,9,,,
process_28,1,10,,,
process_29,7,9,,,
process_30,10.00592514,2,,,
process_32,3.853329884,5,,,
process_33,1.724811538,6,,,
process_34,2.004314236,3,,,
process_31,9,1,,,
process_35,10.42018827,6,,,
process_37,1,2,,,
process_36,9,5,,,
process_38,1,1,,,
process_39,1.819739824,3,,,
process_40,11.86803489,9,,,
process_41,8,9,,,
process_42,10.4743307,1,,,
process_43,1,4,,,
process_44,1,5,,,
process_45,1,10,,,
process_46,1,10,,,
process_47,4,3,,,
process_48,1,6,,,
process_49,1,10,,,
process_50,4,5,,,
process_51,1,5,,,
process_52,1,10,,,
process_53,1,5,,,
process_54,9,9,,,
process_55,1,1,,,
process_56,1,9,,,
process_57,4,10,,,
process_58,1,6,,,
process_59,9,3,,,
process_60,1.988878617,6,,,
process_61,3,3,,,
process_63,4.984346166,9,,,
process_62,6.781833076,10,,,
process_64,1,8,,,
process_65,1,5,,,
process_67,2.777165419,1,,,
process_66,5,2,,,
process_68,2.037619945,3,,,
process_69,4,7,,,
process_70,3,8,,,
process_71,2.944959808,6,,,
process_73,2.808228455,7,,,
process_72,11.66854916,5,,,
process_74,11.14477914,6,,,
process_75,1,5,,,
process_76,1,4,,,
process_78,5.051524306,10,,,
process_77,7,2,,,
process_79,1,6,,,
process_80,3,4,,,
process_81,10.93586016,10,,,
process_82,1,1,,,
process_83,1,9,,,
process_84,1,1,,,
process_85,9,8,,,
process_86,3,9,,,
process_87,3.197580374,3,,,
process_88,1,5,,,
process_89,1,3,,,
process_90,9,6,,,
process_92,1,4,,,
process_91,9.710921031,5,,,
process_93,1,9,,,
process_94,9,1,,,
process_95,1,8,,,
process_96,1,10,,,
process_98,2.8682206,3,,,
process_97,5.356517212,6,,,
process_100,3.065162,8,,,
process_99,8,3,,,
process_101,10.11014432,6,,,
process_102,1,8,,,
process_103,4,9,,,
process_104,1,1,,,
process_105,9,3,,,
process_106,1,5,,,
process_107,9,3,,,
process_108,1,3,,,
process_109,1,10,,,
process_111,1,9,,,
process_110,9.237214551,6,,,
process_112,1,2,,,
process_113,9,3,,,
process_114,4,4,,,
process_115,3,3,,,
process_116,1,4,,,
process_117,1,2,,,
process_118,1,9,,,
process_119,1,10,,,
process_120,1.687070493,10,,,
process_121,1,5,,,
process_122,4,5,,,
process_123,3,9,,,
process_124,9,4,,,
process_125,1,2,,,
process_126,1,9,,,
process_127,4,2,,,
process_128,3,9,,,
process_129,1,1,,,
process_130,1,6,,,
process_131,10,10,,,
process_133,7.519340554,5,,,
process_132,10.79982177,7,,,
process_134,9,8,,,
process_135,1,9,,,
process_136,3,7,,,
process_137,1,8,,,
process_138,9,1,,,
process_139,1,5,,,
process_140,1,6,,,
process_141,1,9,,,
process_142,1,8,,,
process_146,8.039150726,9,,,
process_143,11,5,,,
process_144,10.96160448,10,,,
process_145,11.23853924,2,,,
process_147,1,5,,,
process_148,3.221630156,9,,,
process_150,4,7,,,
process_149,9,5,,,
process_151,3.752652962,10,,,
process_152,4,1,,,
process_153,1,5,,,
process_154,4.246951058,3,,,
process_155,1,9,,,
process_156,3,8,,,
process_157,1,4,,,
process_158,1,2,,,
process_159,1,8,,,
process_161,3.7644123,4,,,
process_160,5,1,,,
process_162,9,2,,,
process_163,1,7,,,
process_164,1,3,,,
process_165,9,8,,,
process_166,1.326595511,8,,,
process_167,1,2,,,
process_168,4.844681733,1,,,
process_170,3.249970739,1,,,
process_171,1,5,,,
process_172,1.171416799,5,,,
process_173,1.810277099,9,,,
process_174,2.372693425,5,,,
process_169,11.64268049,4,,,
process_175,1,5,,,
process_176,1,6,,,
process_177,1,4,,,
process_178,9,6,,,
process_179,4,9,,,
process_180,9,5,,,
process_181,1,3,,,
process_182,1,7,,,
process_184,1,6,,,
process_185,1,8,,,
process_183,9.686994727,2,,,
process_186,1,9,,,
process_187,1.052753942,6,,,
process_188,3,5,,,
process_189,1,7,,,
process_190,9,2,,,
process_191,4,6,,,
process_193,1,5,,,
process_192,9.418047486,3,,,
process_195,1,1,,,
process_194,9,2,,,
process_196,3,5,,,
process_198,3.913513529,2,,,
process_197,5,9,,,
process_199,5.099287296,6,,,
