Process,Time,,,Time,
process_1,2.119843735,2,,,
process_5,9.976171008,8,,Media,44.85332467
process_2,15.99437268,8,,Error típico,1.304078205
process_0,19,3,,Mediana,38
process_7,11.79233405,1,,Moda,29
process_8,12.76655885,9,,Desviación estándar,18.44245084
process_3,18.93998882,2,,Varianza de la muestra,340.1239931
process_10,13.67313978,9,,Curtosis,-1.444632708
process_4,23.91123179,7,,Coeficiente de asimetría,0.008482568
process_11,14.23048247,9,,Rango,75.88015627
process_12,14.80629252,8,,Mínimo,2.119843735
process_14,15.64226568,2,,Máximo,78
process_15,14.38297573,5,,Suma,8970.664934
process_6,31.69769004,4,,Cuenta,200
process_9,38.96722915,4,,,
process_25,37.35179129,1,,28.5776328,25
process_27,42.15476467,10,,38.7332987,50
process_13,62.19573253,7,,42.4766493,100
process_17,62.60809367,1,,43.4310996,150
process_16,64.49726123,9,,44.8533247,200
process_18,64.33004508,7,,,
process_19,64.23718565,6,,,
process_21,62.97967999,9,,,
process_20,64.09389208,8,,,
process_22,64.51681456,1,,,
process_23,65.47235336,10,,,
process_26,64.57609378,7,,,
process_24,66.60918647,3,,,
process_28,71.54018514,5,,,
process_29,71.60127852,1,,,
process_30,70,9,,,
process_35,21,4,,,
process_37,24,5,,,
process_38,25,2,,,
process_39,25,5,,,
process_31,78,1,,,
process_40,26,10,,,
process_41,27,2,,,
process_42,27,9,,,
process_43,28,8,,,
process_44,29,2,,,
process_46,31,5,,,
process_32,55,9,,,
process_33,56,6,,,
process_34,50,8,,,
process_48,26,1,,,
process_49,27,3,,,
process_36,48,2,,,
process_54,32,5,,,
process_55,31,5,,,
process_56,32,5,,,
process_57,30,5,,,
process_45,64,6,,,
process_60,33,7,,,
process_64,43,1,,,
process_65,43,7,,,
process_66,41,4,,,
process_47,69,10,,,
process_50,65,8,,,
process_51,64,9,,,
process_53,63,6,,,
process_52,66,1,,,
process_67,32,10,,,
process_68,32,5,,,
process_58,65,1,,,
process_59,66,3,,,
process_70,29,9,,,
process_71,30,1,,,
process_61,66,4,,,
process_62,66,7,,,
process_63,70,2,,,
process_74,26,6,,,
process_75,26,5,,,
process_77,32,2,,,
process_79,35,3,,,
process_81,38,10,,,
process_83,38,8,,,
process_84,39,1,,,
process_85,40,1,,,
process_86,36,4,,,
process_69,76,9,,,
process_72,69,3,,,
process_88,35,8,,,
process_90,32,9,,,
process_91,33,2,,,
process_73,63,6,,,
process_92,34,1,,,
process_76,61,3,,,
process_80,64,2,,,
process_78,65,2,,,
process_94,27,2,,,
process_82,66,10,,,
process_96,28,6,,,
process_97,29,4,,,
process_98,27,6,,,
process_101,30,6,,,
process_102,29,10,,,
process_87,71,10,,,
process_104,27,10,,,
process_89,70,2,,,
process_93,56,8,,,
process_106,22,9,,,
process_107,23,1,,,
process_109,26,3,,,
process_111,29,3,,,
process_112,29,5,,,
process_95,64,4,,,
process_100,54,4,,,
process_113,25,3,,,
process_114,28,1,,,
process_99,63,2,,,
process_116,32,1,,,
process_119,34,6,,,
process_103,71,9,,,
process_122,37,3,,,
process_124,39,10,,,
process_105,69,4,,,
process_125,37,1,,,
process_110,64,2,,,
process_108,65,6,,,
process_126,36,4,,,
process_127,35,8,,,
process_129,33,5,,,
process_115,62,5,,,
process_117,66,8,,,
process_118,66,9,,,
process_121,62,6,,,
process_131,23,9,,,
process_120,68,1,,,
process_123,64,5,,,
process_136,29,10,,,
process_137,30,7,,,
process_128,68,6,,,
process_139,31,9,,,
process_140,31,2,,,
process_130,62,2,,,
process_143,34,8,,,
process_144,33,8,,,
process_132,57,5,,,
process_146,33,2,,,
process_133,57,8,,,
process_149,31,1,,,
process_134,65,2,,,
process_150,30,5,,,
process_135,66,5,,,
process_138,62,3,,,
process_153,34,8,,,
process_141,61,4,,,
process_154,27,7,,,
process_155,28,4,,,
process_156,28,10,,,
process_142,68,7,,,
process_145,70,10,,,
process_147,61,7,,,
process_148,62,4,,,
process_161,30,6,,,
process_152,60,5,,,
process_164,29,1,,,
process_151,65,3,,,
process_165,29,9,,,
process_167,31,9,,,
process_158,64,5,,,
process_157,69,2,,,
process_160,65,2,,,
process_171,30,5,,,
process_172,31,7,,,
process_159,68,6,,,
process_175,36,8,,,
process_162,65,10,,,
process_163,59,7,,,
process_177,32,9,,,
process_166,61,3,,,
process_178,30,7,,,
process_168,62,1,,,
process_179,22,8,,,
process_169,63,6,,,
process_170,64,2,,,
process_181,24,10,,,
process_182,25,4,,,
process_173,65,2,,,
process_187,29,8,,,
process_174,70,5,,,
process_176,61,8,,,
process_188,28,4,,,
process_190,31,4,,,
process_194,38,7,,,
process_195,35,4,,,
process_197,37,2,,,
process_198,37,10,,,
process_180,70,2,,,
process_183,67,2,,,
process_185,60,5,,,
process_184,61,9,,,
process_186,61,7,,,
process_189,57,6,,,
process_192,56,3,,,
process_191,57,3,,,
process_193,56,3,,,
process_196,52,4,,,
process_199,51,1,,,
