Process,Time,,,Time,
process_0,9,3,,,
process_1,4,2,,Media,4.30081068
process_2,1,4,,Error típico,0.520700107
process_4,1,8,,Mediana,3
process_3,9.183310577,7,,Moda,1
process_5,1,6,,Desviación estándar,3.681905767
process_6,1.8871249,9,,Varianza de la muestra,13.55643008
process_7,1,7,,Curtosis,-0.824142854
process_9,2.673107058,4,,Coeficiente de asimetría,0.793006484
process_8,5,8,,Rango,11.67485509
process_10,1,9,,Mínimo,1
process_11,3,2,,Máximo,12.67485509
process_12,1,9,,Suma,215.040534
process_14,1,8,,Cuenta,50
process_13,9,9,,,
process_15,3,3,,,
process_16,9.449617799,2,,,
process_17,5,3,,,
process_18,1,8,,,
process_19,1,3,,,
process_20,9,4,,,
process_21,3,9,,,
process_22,1,8,,,
process_23,9,7,,,
process_24,1.718927077,7,,,
process_25,4,9,,,
process_26,3.682785121,7,,,
process_28,1,4,,,
process_27,12.67485509,9,,,
process_30,1,2,,,
process_29,9.975150098,2,,,
process_31,1,5,,,
process_32,1,6,,,
process_33,1.639751349,3,,,
process_34,4,5,,,
process_35,1,2,,,
process_36,1,7,,,
process_37,1,9,,,
process_38,1,1,,,
process_39,1.909869912,3,,,
process_41,7,9,,,
process_40,11.93401744,9,,,
process_42,7.737165351,1,,,
process_43,3.119013451,1,,,
process_44,3.447450263,1,,,
process_45,4.080687325,2,,,
process_46,9,1,,,
process_49,7.86849659,4,,,
process_47,10,10,,,
process_48,11.05920462,10,,,
