Process,Time,,,Time,
process_0,9,3,,,
process_1,4,2,,Media,3.984670676
process_2,1,4,,Error típico,0.343390687
process_3,9,7,,Mediana,2.906590204
process_4,1,5,,Moda,1
process_5,1,6,,Desviación estándar,3.433906874
process_6,1.774249799,9,,Varianza de la muestra,11.79171642
process_7,1,7,,Curtosis,-0.748511861
process_9,1.346214117,4,,Coeficiente de asimetría,0.842218504
process_8,5,8,,Rango,10.86803489
process_10,1,9,,Mínimo,1
process_11,3,2,,Máximo,11.86803489
process_12,1,9,,Suma,398.4670676
process_13,9,9,,Cuenta,100
process_14,1.108324416,8,,,
process_15,3,3,,,
process_16,9,2,,,
process_18,1,8,,,
process_17,9,9,,,
process_19,1.681998825,3,,,
process_21,3.358050944,9,,,
process_20,7,9,,,
process_22,9,9,,,
process_23,1,9,,,
process_24,1,7,,,
process_25,7,10,,,
process_26,5.770571533,9,,,
process_27,4,9,,,
process_28,1,10,,,
process_29,7,9,,,
process_30,10.00592514,2,,,
process_32,3.853329884,5,,,
process_33,1.724811538,6,,,
process_34,2.004314236,3,,,
process_31,9,1,,,
process_35,10.42018827,6,,,
process_37,1,2,,,
process_36,9,5,,,
process_38,1,1,,,
process_39,1.819739824,3,,,
process_40,11.86803489,9,,,
process_41,8,9,,,
process_42,10.4743307,1,,,
process_43,1,4,,,
process_44,1,5,,,
process_45,1,10,,,
process_46,1,10,,,
process_47,4,3,,,
process_48,1,6,,,
process_49,1,10,,,
process_50,4,5,,,
process_51,1,5,,,
process_52,1,10,,,
process_53,1,5,,,
process_54,9,9,,,
process_55,1,1,,,
process_56,1,9,,,
process_57,4,10,,,
process_58,1,6,,,
process_59,9,3,,,
process_60,1.988878617,6,,,
process_61,3,3,,,
process_63,4.984346166,9,,,
process_62,6.781833076,10,,,
process_64,1,8,,,
process_65,1,5,,,
process_67,2.777165419,1,,,
process_66,5,2,,,
process_68,2.037619945,3,,,
process_69,4,7,,,
process_70,3,8,,,
process_71,2.944959808,6,,,
process_73,2.808228455,7,,,
process_72,11.66854916,5,,,
process_74,11.14477914,6,,,
process_75,1,5,,,
process_76,1,4,,,
process_78,5.051524306,10,,,
process_77,7,2,,,
process_79,1,6,,,
process_80,3,4,,,
process_81,10.93586016,10,,,
process_82,1,1,,,
process_83,1,9,,,
process_84,1,1,,,
process_85,9,8,,,
process_86,3,9,,,
process_87,3.197580374,3,,,
process_88,1,5,,,
process_89,1,3,,,
process_90,9,6,,,
process_92,1,4,,,
process_91,9.710921031,5,,,
process_93,1,9,,,
process_94,9,1,,,
process_95,1,8,,,
process_96,1,10,,,
process_98,2.8682206,3,,,
process_97,5.356517212,6,,,
process_99,4,3,,,
