Process,Time,,,Time,
process_1,2.119843735,2,,,
process_5,9.976171008,8,,Media,43.43109956
process_2,15.99437268,8,,Error típico,1.529336685
process_0,19,3,,Mediana,38
process_7,11.79233405,1,,Moda,66
process_8,12.76655885,9,,Desviación estándar,18.73047262
process_3,18.93998882,2,,Varianza de la muestra,350.8306044
process_10,13.67313978,9,,Curtosis,-1.32817912
process_4,23.91123179,7,,Coeficiente de asimetría,0.119021141
process_11,14.23048247,9,,Rango,75.88015627
process_12,14.80629252,8,,Mínimo,2.119843735
process_14,15.64226568,2,,Máximo,78
process_15,14.38297573,5,,Suma,6514.664934
process_6,31.69769004,4,,Cuenta,150
process_9,38.96722915,4,,,
process_25,37.35179129,1,,,
process_27,42.15476467,10,,,
process_13,62.19573253,7,,,
process_17,62.60809367,1,,,
process_16,64.49726123,9,,,
process_18,64.33004508,7,,,
process_19,64.23718565,6,,,
process_21,62.97967999,9,,,
process_20,64.09389208,8,,,
process_22,64.51681456,1,,,
process_23,65.47235336,10,,,
process_26,64.57609378,7,,,
process_24,66.60918647,3,,,
process_28,71.54018514,5,,,
process_29,71.60127852,1,,,
process_30,70,9,,,
process_35,21,4,,,
process_37,24,5,,,
process_38,25,2,,,
process_39,25,5,,,
process_31,78,1,,,
process_40,26,10,,,
process_41,27,2,,,
process_42,27,9,,,
process_43,28,8,,,
process_44,29,2,,,
process_46,31,5,,,
process_32,55,9,,,
process_33,56,6,,,
process_34,50,8,,,
process_48,26,1,,,
process_49,27,3,,,
process_36,48,2,,,
process_54,32,5,,,
process_55,31,5,,,
process_56,32,5,,,
process_57,30,5,,,
process_45,64,6,,,
process_60,33,7,,,
process_64,43,1,,,
process_65,43,7,,,
process_66,41,4,,,
process_47,69,10,,,
process_50,65,8,,,
process_51,64,9,,,
process_53,63,6,,,
process_52,66,1,,,
process_67,32,10,,,
process_68,32,5,,,
process_59,65,3,,,
process_58,66,1,,,
process_70,29,9,,,
process_71,30,1,,,
process_61,66,4,,,
process_63,66,2,,,
process_62,67,7,,,
process_74,26,6,,,
process_75,26,5,,,
process_77,32,2,,,
process_79,35,3,,,
process_81,38,10,,,
process_83,38,8,,,
process_84,39,1,,,
process_85,40,1,,,
process_86,37,4,,,
process_69,76,9,,,
process_72,69,3,,,
process_88,35,8,,,
process_90,32,9,,,
process_91,33,2,,,
process_92,33,1,,,
process_73,64,6,,,
process_76,61,3,,,
process_78,61,2,,,
process_80,65,2,,,
process_94,27,2,,,
process_96,27,6,,,
process_97,28,4,,,
process_98,26,6,,,
process_82,72,10,,,
process_87,66,10,,,
process_101,31,6,,,
process_102,30,10,,,
process_89,65,2,,,
process_104,28,10,,,
process_93,56,8,,,
process_106,22,9,,,
process_107,23,1,,,
process_109,25,3,,,
process_95,62,4,,,
process_111,26,3,,,
process_112,27,5,,,
process_113,27,3,,,
process_114,30,1,,,
process_116,34,1,,,
process_99,66,2,,,
process_100,63,4,,,
process_119,33,6,,,
process_105,66,4,,,
process_103,72,9,,,
process_122,38,3,,,
process_124,40,10,,,
process_108,62,6,,,
process_125,38,1,,,
process_110,64,2,,,
process_126,36,4,,,
process_127,35,8,,,
process_115,65,5,,,
process_129,30,5,,,
process_117,66,8,,,
process_118,66,9,,,
process_131,22,9,,,
process_120,63,1,,,
process_121,70,6,,,
process_136,29,10,,,
process_123,74,5,,,
process_137,30,7,,,
process_128,65,6,,,
process_139,31,9,,,
process_140,31,2,,,
process_143,33,8,,,
process_144,33,8,,,
process_130,70,2,,,
process_132,56,5,,,
process_133,56,8,,,
process_134,53,2,,,
process_135,54,5,,,
process_146,27,2,,,
process_149,33,1,,,
process_138,61,3,,,
process_141,53,4,,,
process_142,54,7,,,
process_145,38,10,,,
process_147,39,7,,,
process_148,39,4,,,
